,description,charge
2205,CT-LOW DOSE-LUNG CANCER SCREENING,310
2206,"CT-VENOGRAPHY, EXTREM UNILAT","1,556"
2207,CUFF TOURNIQUET DUAL 24 607070104,161
2208,CUFF TOURNIQUET DUAL 42 607070107,201
2209,CUFF TOURNIQUET DUAL SINGLE 18IN,144
2210,CUFF TOURNIQUET DUAL SINGLE 42IN,188
2211,CULT & SENS (BODY FLUID),204
2212,CULT & SENS (BRONCHIAL),204
2213,CULT & SENS (CSF),204
2214,CULT & SENS (EYE),204
2215,CULT & SENS (GENITAL),204
2216,CULT & SENS (MISC),204
2217,CULT & SENS (SPUTUM),204
2218,CULT & SENS (STOOL),284
2219,CULT & SENS (THROAT),204
2220,CULT & SENS (TISSUE/BONE),204
2221,CULT & SENS (URINE),189
2222,CULT & SENS WOUND/LESION,204
2223,CULT CHLAMYDIA NOT GENITL,466
2224,CULTURE AFB,256
2225,CULTURE ANAEROBIC,224
2226,CULTURE CLOSTR DIFF STOOL,259
2227,CULTURE FUNGUS,200
2228,CULTURE VIRAL,610
2229,"CULTURE, SURVEILLANCE",158
2230,"CULTURE,TYPE,IMMUN.NO IM-FLUOR@AS",133
2231,CULTURED FIBROBLASTIC CEL,"2,956"
2232,CUP ACET GRIPTON 48 121732048,"8,221"
2233,CUP ACET GRIPTON 50MM 121732050,"8,765"
2234,CUP ACET GRIPTON 54MM 121732054,"8,221"
2235,CUP ACET GRIPTON 62MM 121732062,"10,483"
2236,CUP ACET PINNACLE 62MM 121722062,"6,302"
2237,CUP ACET PROSTALAC42X32 154142320,"2,919"
2238,CUP ACET RESTOR 46MM LFT 12352462,"16,165"
2239,CUP ACET RESTOR 48MM 12352481,"16,165"
2240,CUP ACET RESTOR 50MMM 12352502,"16,165"
2241,CUP ACETAB PINN GRIP54MM121730054,"13,400"
2242,CUP ACETAB SZ54MM PIN 121732054,"10,483"
2243,CUP ACETABULAR 121732056,"10,483"
2244,CUP ACETABULAR 50MM 121722050,"8,536"
2245,CUP ACETABULAR 54MM DEPUY,"8,591"
2246,CUP ACETABULAR 56MM DEPUY,"8,760"
2247,CUP ACETABULAR GRIP 52MM121732052,"10,483"
2248,CUP ACETABULAR PINN 52MM121722052,"7,328"
2249,CUP ACETABULAR XZ 55MM 121732058,"8,765"
2250,CUP BIPOLAR SHELL 44MM,"2,734"
2251,CUP HUM REUNION RSA32X4 55703204,"8,757"
2252,CUP HUM RSA 36X4MM 55703604,"9,344"
2253,CUP HUMERAL DIA 38 +3MM,"7,045"
2254,CUP HUMERAL STD 38 +6MM,"7,045"
2255,CUP HUMERAL STD 38+9MM,"7,045"
2256,CUP PINNACLE SECTOR GRIP121732060,"8,765"
2257,CUP VCARE CERV 32MM SM606085200,605
2258,CUP VCARE CERV 34MM MED 606085201,605
2259,CUP VCARE CERV 36MM LRG 606085202,605
2260,CUP VCARE CERV 40MM XL 606085203,605
2261,"CUP,BIOPOLAR,HIP,48MM,11-165220","4,232"
2262,"CURETTAGE, POSTPARTUM","3,812"
2263,CUTTER 10MM REAMER AR1204AF100,"1,959"
2264,CUTTER 7.5 SNGL USE AR1204AF75,"1,897"
2265,CUTTER 7MM SGLE USE AR1204AF70,"1,897"
2266,CUTTER 8.5MM REAMER AR1204AF85,"1,897"
2267,CUTTER 9.0MM REAMERSGL AR1204AF90,"1,897"
2268,CUTTER 9.5 SGL USE AR1204AF95,"1,897"
2269,CUTTER DIAM MIDAS REX25.4 MC254,"1,074"
2270,CUTTER FLIPCUTTER10.5 AR1204AF105,"1,897"
2271,CUTTER LINEAR 30MM ART ATB35,"1,979"
2272,CUTTER LINEAR 55MM TITANIUM,682
2273,CUTTER LINEAR 75MM RELOAD REFILL,570
2274,CUTTER LINEAR 75MM RELOAD WITH LO,"1,017"
2275,CUTTER STAPLER CURVED COUNTOUR 40,"3,026"
2276,CUTTER STAPLER CURVED COUNTOUR -C,"3,026"
2277,CUTTING BALLOON POST ANGIO,"7,561"
2278,CVVD - CRRT,"5,598"
2279,CYANOCOBALAMIN @ 1000 MCG INJ,47
2280,CYANOCOBALAMIN TAB 1000MCG,2
2281,"CYANOCOBALAMIN TAB, 100MCG",2
2282,CYCLOBENZAPRINE 10MG TAB,5
2283,CYCLOMYDRIL OPHTH SOLN 2ML,189
2284,CYCLOPENTOLATE 0.5% OPHTH SOLN,517
2285,CYCLOPENTOLATE 2% OPHTH SOLN 2,167
2286,CYCLOPENTOLATE POH SOLN 1% 2ML,7
2287,"CYCLOPHOSPHAMIDE,@ 100MG,INJ(1GM)",468
2288,"CYCLOPHOSPHAMIDE,@ 25MG, CAP (25)",53
2289,"CYCLOPHOSPHAMIDE,@ 25MG, CAP (50)",49
2290,CYCLOSPORIN,420
2291,CYCLOSPORIN @ 100 MG CAP (NEORAL),53
2292,CYCLOSPORIN @ 100 MG CAP (ORAL),91
2293,CYCLOSPORINE @ 100MG ORAL (100MG),33
2294,"CYCLOSPORINE CAP, 25MG",13
2295,"CYCLOSPORINE CAP,25MG(SANDIMMUNE)",23
2296,"CYROHEPTADINE HCL TAB, 4MG",6
2297,"CYSTINE, 24 HOUR URINE",397
2298,CYSTO.CALIB/DIL.URETH.STRIC/STENO,"5,224"
2299,CYSTOGRAPHY,"1,210"
2300,CYSTOSTOMY TUBE CHANGE,"1,162"
2301,CYTO FLUID W/CONCENTRATE,72
2302,CYTO FLUID W/O CONCENTRATE,62
2303,CYTO OTHER INTERP CHARGE,89
2304,CYTOGENETICS INTERPRET AND REPORT,"1,742"
2305,"CYTOMEGALOVIRUS,DNA,QUANTIFICATIO",757
2306,CYTOMEGLOVIR-AB-IGM (CMV),399
2307,"CYTOPATH SMEAR, OTHER SOURCE",240
2308,"CYTOPATH,C/V,AUTO TH.L,MAN.RESCR.",79
2309,"CYTOPATH,CELL ENHANCE, NON-GYN",112
2310,"CYTOPATH,EVAL FNA, 1ST, EA. SITE",115
2311,CYTP FNA EVAL EA ADDL,300
2312,"D.H.E.INJ, 1MG/ML",893
2313,D5W/NACL 0.45%/KCL 10MEQ (1000ML),13
2314,D5W/NACL 0.45%/KCL 20MEQ (1000ML),15
2315,D5W/NACL 0.45%/KCL 40MEQ (1000ML),19
2316,"DABIGATRAN CAP, 150MG",41
2317,"DABIGATRAN CAP, 75MG",41
2318,"DACARBAZINE INJ,100MG/10ML",76
2319,DAILY CARE CARDIOVASCULAR UNIT,"10,348"
2320,DAILY CARE INTERMEDIATE ICU,"7,245"
2321,DAILY CARE LABOR & DELIVERY ,"6,407"
2322,DAILY CARE MEDICAL ICU,"8,227"
2323,DAILY CARE NEONATAL,"5,332"
2324,DAILY CARE NEONATAL STEP DOWN,"5,022"
2325,DAILY CARE NURSERY ,"3,328"
2326,DAILY CARE SEMI PRIVATE-MED/SURG,"5,062"
2327,DAILY CARE SEMI PRIVATE-PSYCH,"3,762"
2328,DAILY CARE TRAUMA ICU,"9,516"
2329,DAKIN'S 0.25% (HALF STRENGTH) SOL,80
2330,DANAZOL 100MG CAP,31
2331,DANAZOL 200MG CAP,51
2332,"DANTROLENE SOD. 250MG VIAL, INJ","16,259"
2333,"DANTROLENE SODIUM CAP,25MG",6
2334,"DANTROLENE SODIUM INJ, 20MG",476
2335,DAPSONE 25MG TAB,16
2336,"DAPTOMYCIN,@ 1MG,INJECTION(500MG)",6
2337,"DARBEPOETIN NON-ESRD@1 MCG,(100)",53
2338,"DARBEPOETIN NON-ESRD@1 MCG,(150)",53
2339,"DARBEPOETIN NON-ESRD@1 MCG,(200)",53
2340,"DARBEPOETIN NON-ESRD@1 MCG,(25)",53
2341,"DARBEPOETIN NON-ESRD@1 MCG,(300)",53
2342,"DARBEPOETIN NON-ESRD@1 MCG,(40)",53
2343,"DARBEPOETIN NON-ESRD@1 MCG,(60)",53
2344,"DARUNAVIR ORAL SUSP,100 MG/ML",27
2345,"DARUNAVIR TAB, 800 MG",326
2346,"DEBRIDE BONE,EACH ADDT'L 20SQ CM","2,625"
2347,DEBRIDE MUSCLE/FASCIA EA ADDT'L,"1,125"
2348,"DEBRIDE MUSCLE/FASCIA,20 SQCM OR<","1,125"
2349,DEBRIDE MYCOTIC NAILS <6,265
2350,DEBRIDE MYCOTIC NAILS >6,364
2351,DEBRIDE SKIN/TISSUE,499
2352,"DEBRIDE SUBQ TISSUE,FIRST 20 SQCM","1,125"
2353,"DEBRIDE SUB-Q,EACH ADDT'L 20SQ CM","1,125"
2354,DEBRIDE TISSUE/MUSCLE/BONE,"2,125"
2355,DECALCIFICATION PROCEDURE,158
2356,"DECITABINE INJ, @ 1 MG (50 MG VL)",221
2357,DECLOT VASCULAR DEVICE,964
2358,"DEFIBRILLATOR BI-VENT, MULTI-LEAD","98,000"
2359,DEGARELIX PER 1MG INJ (120MG)-NF,43
2360,DEHYDRATED ALCOHOL INJ,59
2361,"DEHYDRATED ALCOHOL INJ, 100%",252
2362,DELIVERY OF PLACENTA ONLY,"5,654"
2363,DELIVERY-LITE BIO 48288214,"2,773"
2364,"DEMECLOCYCLINE TAB, 150MG",60
2365,"DENOSUMAB, PER 1 MG, INJ (120)",126
2366,"DENOSUMAB, PER 1 MG, INJ (60)",134
2367,DENTAL SURGERY PROCEDURE,654
2368,DERMABOND PRINEO 22CM CLR222US,461
2369,"DERMABOND, 0.5ML",160
2370,"DERMACARRIER,1 1/2 TO 1 RATIO",132
2371,"DERMACARRIER,3 TO 1 RATIO",142
2372,"DESCTRUCT BENIGN LESIONS,UP TO 14",442
2373,DESIGN MLC DEVICE FOR IMRT,"2,226"
2374,"DESIPRAMINE HCL TAB, 25MG",15
2375,DESITIN OINTMENT 30G,16
2376,DESLORATIDINE TAB 5MG,28
2377,DESMOPRESSIN 0.1 MG TAB,17
2378,DESMOPRESSIN 4MCG INJ,100
2379,DESMOPRESSIN NASAL 0.1MG/ML 2.5ML,"1,797"
2380,"DESMORPRESSIN INJ,4MCG/ML(10ML)",101
2381,DESOXIMETASONE 0.25% CREAM 15G,331
2382,DESOXIMETASONE 0.25% OINT 15GM,602
2383,DESVENLAFAXINE 100MG TAB,65
2384,"DESVENLAFAXINE TAB, 50MG",65
2385,DETACHER INSTANT ENDOVASCULAR EV3,327
2386,DETECT AGENT NOS DNA QUANT,902
2387,"DETECT AGENT NOS,DNA,AMP(CHOP PED",833
2388,DEV FIX ENDOBUTTON 10MM 72203331,"2,007"
2389,DEV FIX SECURESTRAP STRAP25,"3,317"
2390,DEV GREENLIGHT FIBER 00102400,"6,393"
2391,DEV INTRACORP KNOTDISP MICOTIE001,"1,973"
2392,DEV MYOSURE XL TIS REMOVAL50503XL,"7,006"
2393,DEV.COGNITIVE SKILLS-DIRECT-15MIN,127
2394,DEVICE BONE BIOP F07A,892
2395,DEVICE BONE KYPHOPL BIOP DIS F05A,958
2396,DEVICE CLOSURE 6/7FR VASC MX6721,"1,168"
2397,DEVICE CLOSURE ANGIOSEAL(ST JUDE),"2,677"
2398,DEVICE CLOSURE BOOMERANG(CARDIMA),"2,436"
2399,DEVICE CLOSURE FEMSTOP(ST JUDE),987
2400,DEVICE CLOSURE MYNX 5FR MX5021,"1,168"
2401,DEVICE FIX OPTIFIX30CT ABS0113126,"2,510"
2402,DEVICE FIX SORBAFIX30CTABS0113080,"3,876"
2403,DEVICE LAP 5MM 5/10-12MM CTI512N,748
2404,DEVICE MYOSURE TISS REM 10403FC,"7,492"
2405,DEVICE MYOSURELT TISSREM30403LITE,"3,795"
2406,DEVICE PRESTO INFLAT 30CC 1D4030,146
2407,DEVICE SUT CAPIO SLIM M0068318261,"2,896"
2408,"DEVICE,NOVA,ENDOMETRIAL ABALATE","7,515"
2409,DEXAMETHASONE 4MG TAB,4
2410,"DEXAMETHASONE LIQ, 0.5MG/5ML",8
2411,DEXAMETHASONE OPH SOLN 0.1%,98
2412,DEXAMETHASONE SOD. PF@1MG INJ(10),4
2413,DEXAMETHASONE SOD. PF@1MG(0.1NICU,2
2414,DEXAMETHASONE SOD.PH.@1MG INJ (4),2
2415,DEXAMETHASONE SOD.PH.@1MG INJ(20),1
2416,"DEXAMETHASONE TAB, 0.5MG",1
2417,"DEXAMETHASONE TAB, 1.5MG",2
2418,"DEXMEDETOMIDINE INF, 200MCG/2ML",130
2419,"DEXMEDETOMIDINE INF,400MCG/100ML",753
2420,"DEXRAZOXANE HCL,@ 250MG,INJ (500)","1,864"
2421,"DEXTRAN SLN D5W, LOW MOLEC WT 10%",170
2422,"DEXTRAN SOLN, LOW MOLECULAR WT",198
2423,"DEXTROAE INJ, 10% (1000ML)",57
2424,"DEXTROSE 10% INJ,250ML",14
2425,DEXTROSE 2.5%/NACL 0.45% (1000ML),57
2426,DEXTROSE 25% INJ 2.5GM/10ML (SYR),57
2427,"DEXTROSE 5% (LV), 100ML",11
2428,DEXTROSE 5%/KCL 20MEQ (1000ML),13
2429,DEXTROSE 5%/KCL 40MEQ (1000ML),57
2430,DEXTROSE 5%/LACTATED RINGERS 1000,13
2431,DEXTROSE 5%/NACL 0.225% (1000ML),57
2432,DEXTROSE 5%/NACL 0.45% (1000ML),57
2433,DEXTROSE 5%/NACL 0.9% (1000ML),28
2434,DEXTROSE 5%/NACL 0.9% (500ML),28
2435,DEXTROSE 5%/NACL O.45% (500ML),28
2436,DEXTROSE 5%NACL.9% KCL20MEQ,19
2437,DEXTROSE 50% INJ 50ML,17
2438,DEXTROSE 50% INJ SYR 50ML,54
2439,"DEXTROSE 70%, 2000 ML, INJ (TPN)",7
2440,"DEXTROSE INJ (PB), 5% 250ML",57
2441,DEXTROSE INJ 5% 50ML,11
2442,"DEXTROSE INJ, 10% (500ML)",28
2443,"DEXTROSE INJ, 10% (500ML, PF)",28
2444,"DEXTROSE INJ, 5% (1000ML)",57
2445,"DEXTROSE INJ, 5% (150ML)",8
2446,"DEXTROSE INJ, 50% (500ML,PF)",85
2447,"DEXTROSE INJ,(PB),5% 500ML",28
2448,DHEA,604
2449,DHEA SULFATE SERUM,493
2450,DIAG.BREAST TOMOSYNTHESIS-UNI/BI,176
2451,DIAG.MAMMOGRAM W/CAD-BOTH BREASTS,"1,149"
2452,DIAG.MAMMOGRAM W/CAD-ONE BREAST,902
2453,DIAGN.BONE MARROW-BIOPSY & ASPIR.,"3,936"
2454,"DIAGNOSTIC MAMMO.& CAD,UNILATERAL",902
2455,DIAGNOSTIC SONOGRAM,264
2456,DIAZEPAM @ 5MG INJ (20),9
2457,"DIAZEPAM RECTAL GEL,2.5MG","1,739"
2458,"DIAZEPAM TAB, 2MG",1
2459,"DIAZEPAM TAB, 5MG",2
2460,"DIAZOXIDE SUSP, 50 MG/ML (30ML)",53
2461,"DICLOXACILLIN CAP, 250MG",4
2462,DICYCLOMINE 20MG/2ML INJ,139
2463,"DICYCLOMINE HCL CAP, 10MG",3
2464,"DICYCLOMINE HCL TAB, 20 MG",2
2465,"DICYCLOMINE SYRUP,10MG/5ML",8
2466,DIFFUSING CAPACITY(CLOSING VOLUME,512
2467,DIGOXIN 0.25MG TAB,10
2468,"DIGOXIN ELIXIR., 0.25MG/5ML",79
2469,"DIGOXIN IMMUNE INJ FAB, 40MG","24,133"
2470,DIGOXIN INJ PEDIATRIC 100MCG/1ML,469
2471,"DIGOXIN INJ, 0.5MG/2ML",37
2472,DIGOXIN LEVEL,311
2473,"DIGOXIN TAB, 0.125MG",10
2474,DIHYDROTESTOSTERENE ASSAY,595
2475,DILANTIN,309
2476,DILATION OF NEPHROSTOMY S&I,"1,451"
2477,DILATOR SET AMPLATZ REN (G14292),"1,370"
2478,DILATOR URET SET60-18FR60CMG14297,904
2479,DILTIAZEM 60MG TAB,2
2480,DILTIAZEM HCL 5 MG/ML (10ML) INJ,27
2481,"DILTIAZEM HCL CAP CD, 180MG",3
2482,"DILTIAZEM HCL CAP CD, 240MG",5
2483,"DILTIAZEM HCL CAP CD, 300MG",15
2484,DILTIAZEM HCL CAP SR 60MG,22
2485,DILTIAZEM HCL CAP SR 90MG,21
2486,"DILTIAZEM HCL CAP, 120MG",2
2487,"DILTIAZEM HCL INJ, 5MG/ML (25ML)",41
2488,"DILTIAZEM HCL INJ, 5MG/ML (5ML)",16
2489,DILTIAZEM HCL TAB 90MG,5
2490,DILTIAZEM TAB 30MG,1
2491,DIMENTHYDRINATE 50MG TAB,1
2492,DINOPROSTONE 20MG VAG SUPP,"12,584"
2493,"DINOPROSTONE VAG INSERT, 10MG","2,549"
2494,DIPHENHYDRAMIN 2% CREAM 30GM,25
2495,DIPHENHYDRAMINE CAP 50MG,0
2496,"DIPHENHYDRAMINE CAP, 25MG",0
2497,DIPHENHYDRAMINE CREAM 1% 30G,19
2498,"DIPHENHYDRAMINE ELIX,25MG/10ML UD",1
2499,"DIPHENHYDRAMINE HCL,@ 50MG,INJ",19
2500,DIPHENOXYLATE/ATROP SULF TAB,5
2501,"DIPHTH/TETANUS/AC.PERT-DTAP,< 7YR",146
2502,DIPHTHERIA-TETANUS ADULT 0.5ML,222
2503,"DIPYRIDAMOLE TAB, 25MG",6
2504,"DIPYRIDAMOLE TAB, 50MG",10
2505,DISC MOBI-C CERV 13X17 MB3375,"36,779"
2506,DISC MOBI-C CERV 13X17 MB3376,"36,779"
2507,DISC MOBI-C CERV 15X15 MB3555,"36,779"
2508,DISC MOBI-C CERV 15X17 MB3576,"36,779"
2509,DISC MOBI-C CERV 15X19 MB3595,"36,779"
2510,DISC MOBI-C CERV 15X19 MB3596,"36,779"
2511,DISC MOBI-C CERV 15X19 MB3597,"36,779"
2512,"DISKOGRAPHY, LUMBAR, S & I","3,792"
2513,DISOPYRAMIDE 100MG CAP SA,22
2514,"DISOPYRAMIDE CAP,100MG",8
2515,"DISOPYRAMIDE CAP,150MG",9
2516,DISSECTOR BALL SPACEMAKER SMCYCST,"3,646"
2517,DISSECTOR BALLOON SPCMKR SMBTTOVL,"3,268"
2518,DISSECTOR MARYLANDDAVINCI428050,724
2519,"DISSECTOR,ENDO,5MM (5DCD)",477
2520,DIVALPROEX 250MG TAB EC,10
2521,DIVALPROEX ER TAB 500MG,14
2522,"DIVALPROEX ER TAB, 250MG",14
2523,"DIVALPROEX SPRINKLE CAP, 125MG",4
2524,DIVALPROEX TAB EC 125MG,5
2525,"DIVALPROEX TAB EC, 500MG",8
2526,"DNA/RNA, HPV,HIGH-RISK TYPES",814
2527,"DNA/RNA,CANDIDA SPECIES,AMPLIF.PR",73
2528,"DNA/RNA,HPV, 16&18 ONLY,INCL.45",814
2529,"DOBUTAMINE HCL,PER 250MG,INJ(250)",39
2530,"DOBUTAMINE-D5,@ 250 MG,INJ (250)",71
2531,"DOBUTAMINE-D5,@ 250 MG,INJ (500)",50
2532,"DOCETAXEL,PER 1 MG,INJ, (160 MG)",108
2533,"DOCETAXEL,PER 1 MG,INJ, (20 MG)",23
2534,"DOCUSATE CAP, 100 MG",1
2535,"DOCUSATE LIQUID, 100MG/10ML",4
2536,"DOFETILIDE CAP, 125 MCG",21
2537,"DOFETILIDE CAP, 250MG",21
2538,"DOFETILIDE CAP, 500MG",21
2539,"DONEPEZIL TAB, 10MG",1
2540,DONEPEZIL TAB. 5MG,1
2541,DONNATAL TAB,53
2542,DOPAMINE HCL @ 40 MG INJ (400),2
2543,DOPAMINE HCL @ 40MG INJ(200-NICU),12
2544,"DOPAMINE IN DEXTROSE 5% INF, 400M",11
2545,DOPPLER GUIDED NEEDLE ASSEMBLIES,866
2546,"DOPPLER,ECHOCARD-COLOR FLOW",881
2547,"DORZOLAMIDE HCL DROP, 2% (5ML)",378
2548,DOUBLE LUMEN (5FR) W/ CLAMPS,657
2549,"DOXAZOSIN TAB, 1MG",21
2550,"DOXAZOSIN TAB, 2MG",21
2551,DOXEPIN 10MG CAP,4
2552,DOXEPIN 25MG CAP,5
2553,"DOXEPIN ORAL SOLN, 10MG/ML",1
2554,DOXERCALCIFEROL @ 1 MCG INJ (4),21
2555,"DOXERCALCIFEROL CAP, 0.5MG",97
2556,"DOXERCALCIFEROL CAP, 2.5MCG",206
2557,"DOXORUBICIN INJ, 10 MG (50MG TACE",331
2558,DOXORUBICIN LIPOSOM.@ 10MG INJ(50,"3,626"
2559,"DOXORUBICIN PFS INJ, 2MG/ML (25ML",30
2560,"DOXORUBICIN PFS INJ, 2MG/ML (5ML)",62
2561,"DOXYCYCLINE CAP, 100MG",23
2562,"DR.SCR-OPIOIDS&OPIATE ANALOGS,1-2",465
2563,DRAIN BL W/CATH INSERTION,"5,537"
2564,DRAIN BLADDER BY NEEDLE,308
2565,DRAIN BLAKE 10MM 2213,127
2566,DRAIN BLAKE 24FR,117
2567,DRAIN EXTERNAL EAR LESION,346
2568,DRAIN PELVIC ABSCESS,"4,933"
2569,DRAIN/INJECT JOINT/BURSA-INTERMED,916
2570,DRAIN/INJECT JOINT/BURSA-MAJOR,"1,973"
2571,"DRAINAGE CATHETER, ALL",729
2572,"DRAINAGE KIT, ALL","1,507"
2573,DRAINAGE OF FINGER ABSCESS,999
2574,DRAINAGE OF GLAND ABSCESS,"1,874"
2575,DRAINAGE OF GUM LESION,946
2576,DRAINAGE OF HEMATOMA/FLUID,"2,592"
2577,DRAINAGE OF PILONIDAL CYST,"1,007"
2578,DRAINAGE OF SKIN ABSCESS COMPLEX,777
2579,DRAINAGE OF SKIN ABSCESS SIMPLE,686
2580,DRAINAGE OF TONSIL ABSCESS,"3,563"
2581,DRAINAGE UNIT CHEST PLUER EVAC,139
2582,DRAINAGE UNIT CHEST PLUER EVAC,129
2583,DRAPE WARMER SCOPE PILLOW ORS400,321
2584,"DRESS/DEBRID P-THICK BURN, M",735
2585,"DRESS/DEBRID P-THICK BURN, S",735
2586,DRESSING ABDOMIN 17X17 TEMP XTAC,"1,879"
2587,DRESSING ABTHERAW/VISCERAL370605S,"2,326"
2588,DRESSING AQUACEL 9X30CM 420670,186
2589,DRESSING AQUACEL 9X35 412012,174
2590,DRESSING AQUACEL9X15CM 412010,124
2591,DRESSING AQUACEL9X25CM 412011,186
2592,DRESSING CHANGE KIT,20
2593,DRESSING COMP CRYOCUFF KNEELRG11B,356
2594,DRESSING COMP CRYOCUFF KNEEMED11A,356
2595,DRESSING KIT FOAM RENASYS66020796,302
2596,DRESSING KIT MED RENASYS 66020795,213
2597,DRESSING KIT SM RENASYSF 66020794,169
2598,DRESSING MEROCEL NASAL 440410,"1,273"
2599,DRESSING VAC INFO LARGE GRANUFOAM,354
2600,DRESSING VAC INFO MEDIUM GRANUFOA,293
2601,DRESSING VAC INFO SMALL GRANUFOAM,233
2602,DRESSINGNASOPORE4CMFIRM5400020004,488
2603,DRILL 1.5X115 SGLUSE 254691107,744
2604,DRILL 2.0MM QCK REL 800318,443
2605,DRILL 2.6X122MM WL 70MM 4535010,407
2606,DRILL 2.8MM QCK REL 800387,609
2607,DRILL 3.2X200MM 50852032,511
2608,DRILL 4MM SCREWS0.9X46MM6009504,764
2609,DRILL 5.0/340MM,908
2610,DRILL APEX PIN 2.2X100MM 50851222,506
2611,DRILL ASNIS2.1MM SGLEUSE 4530005S,"1,041"
2612,DRILL BIT 1.7MM AR891614,461
2613,DRILL BIT 2.0MM WITHDEPTH MARKING,"1,502"
2614,DRILL BIT 2.4MM VERTEX MAX RECON,"2,293"
2615,DRILL BIT 2.5 AR873709,876
2616,DRILL BIT 2.5/110MM QUICK COUPLE,373
2617,DRILL BIT 2.5MM FOR 3 (48560323),"1,986"
2618,DRILL BIT 2.5MM L230MM,894
2619,DRILL BIT 2.8MM (324.214),"1,061"
2620,DRILL BIT 24MM,482
2621,DRILL BIT 2X102MM WL50MM 4527010,339
2622,DRILL BIT 3 FLUTED 330MM X 4.2MM,"1,196"
2623,DRILL BIT 3.1MM L204MM,377
2624,DRILL BIT 3.2,894
2625,DRILL BIT 3.5MM,894
2626,DRILL BIT 3.5MM DEPUY,894
2627,DRILL BIT 3.5X130MM,908
2628,DRILL BIT 4.3MM (310.431),642
2629,DRILL BIT 4X200MM 50852040,523
2630,DRILL BIT ASNIS 1.7MM 4520005S,"1,044"
2631,DRILL BIT ASNISLLL 5MM 702447,"1,608"
2632,DRILL BIT CANN 3.0 AR894530C,584
2633,DRILL BIT CANN 4.0 AR896740C,876
2634,DRILL BIT CANNULATED 3.5MM(702450,"1,004"
2635,DRILL BIT DISP 2.5MM LONG DWD063,729
2636,DRILL BIT QUICK COUP 2.8MM/165MM,622
2637,DRILL BIT QUICK COUPLING 3.5MM,373
2638,DRILL BIT T2 3.5X230MM AO,908
2639,DRILL BIT VAR 2.8X102MM 4527020,436
2640,DRILL BIT4.2 TIBIAL (03.010.104),983
2641,DRILL BONE GRAFT 10MM DISPBG8020S,"2,342"
2642,DRILL BONE GRAFT 8MM DISPBG8010S,"2,342"
2643,DRILL CALIBRATED 4.8 11021A,732
2644,DRILL CANN 3.0MM 705357,"1,401"
2645,DRILL CANN 3.5 AR8956C35PD,"1,022"
2646,DRILL CANN HEAD 4.3 44112011,"1,645"
2647,DRILL CANN POLYAX 2.0 DRLLPLS20,508
2648,DRILL CANNULATED 2.7MM,"1,004"
2649,DRILL MICRO DRILL,"1,256"
2650,DRILL PHALINX CANN 2.45MM 05610,"1,315"
2651,DRILL PHALINXNONCANN2.45 45303145,"1,594"
2652,DRILL PHALINXNONCANN2.55 45303155,"1,594"
2653,DRILL PIN ACL 4MM AR1595TC,715
2654,DRILL PIN ACL TIGHTROPE AR1595T,730
2655,DRILL TWIST 1.5X50 2544907,744
2656,DRILL TWIST 1.7MM 72203855,"1,146"
2657,DRILL TWIST 1.9MM 72203856,"1,146"
2658,DRILL TWIST 1.9X27MM 6019326,393
2659,DRILL TWIST 1.9X70 254601907,566
2660,DRILL TWIST 12MM 1001112,"1,284"
2661,DRILL TWIST 2.2X50 010220107,871
2662,DRILL TWIST 2X41X105MM 6020385,339
2663,DRILL TWIST BIT 1.6X127 72204438,351
2664,DRILL VALOR NAIL 415S002350,"1,600"
2665,DRILL XIA 5.0MM 48856450,"2,207"
2666,DRILL XIA CORT 5MM 48856455,"2,207"
2667,DRIVE SHAFT SEAL 351718S,134
2668,DRIVER CONN GEMINUS 2.0DRVRASS20,433
2669,DRIVER NEEDLE ENDOWRIST DA VINCIS,"1,284"
2670,DRIVER NEEDLE SUTURE CUT1.4X54CM,"1,401"
2671,DRIVER UNIV QUICK CONN DRVRVQCT10,508
2672,DRONABINOL 2.5MG CAP,30
2673,"DRONEDARONE TAB, 400MG",26
2674,DRUG ADMIN HEMODYNMIC MEAS,"3,594"
2675,DRUG ELUTING STENT EACH,"16,992"
2676,DRUG SCREEN QNT-ALCOHOLS,252
2677,"DRUG SCREEN QNT-ALKALOIDS, NOS",251
2678,"DRUG SCREEN,QUANT,LEVETIRACETUM",85
2679,"DRUG SCREEN,QUANT,OXCARBAZEPIN",85
2680,"DRUG SCREEN-AMPHETAMINES,1-2","1,299"
2681,"DRUG SCREEN-ANABOLIC STEROIDS,1-2",251
2682,DRUG SCREEN-BARBITURATES,324
2683,"DRUG SCREEN-BENZODIAZEPINES,1-12",251
2684,DRUG SCREEN-BUPRENORPHINE,465
2685,"DRUG SCREEN-CANNABINOIDS,NATURAL",251
2686,DRUG SCREEN-COCAINE,465
2687,"DRUG SCREEN-OPIATES, 1 OR MORE",465
2688,DRUG TEST PRESUM.-CHEM.ANALZR-DOS,251
2689,"DULOXETINE CAP, 20MG",34
2690,"DULOXETINE CAP, 30MG",44
2691,"DULOXETINE CAP, 60MG",34
2692,"DUONEB INH SOLN, 2.5-0.5/3ML",13
2693,DUP SCAN EXT VEINS COMP BILATERAL,"2,755"
2694,DUP SCAN EXT VEINS LTD,"2,182"
2695,DUPLEX ABD/PELV ART COMP,"4,116"
2696,DUPLEX ABD/PELVIS LTD,"2,288"
2697,DUPLEX ARM/ART F/U LTD,"1,070"
2698,DUPLEX LEG/ART F/U LTD,"1,940"
